batter,match_phase,total_runs,balls_faced,dismissals,strike_rate,average,strike_rate_norm,average_norm,weighted_score,match_phase_num,dismissals_norm,will_perform
BJ Rohrer,Death,79,34,1.0,232.3529411764706,79.0,0.9046875840912764,0.78690036900369,0.8811301410737592,2,0.010526315789473684,1
HM Amla,Death,120,50,2.0,240.0,60.0,0.9368709972552609,0.5940959409594095,0.8683159859960907,2,0.021052631578947368,1
AC Gilchrist,Death,63,27,1.0,233.33333333333334,63.0,0.9088136627020436,0.6245387453874538,0.8519586792391257,2,0.010526315789473684,1
AB de Villiers,Death,1837,805,42.0,228.19875776397515,43.73809523809524,0.8872042870213046,0.42907661219469334,0.7955787520559824,2,0.4421052631578947,1
M Vohra,Death,62,26,3.0,238.46153846153845,20.666666666666668,0.93039622774298,0.1949569495694957,0.7833083721082832,2,0.031578947368421054,1
TH David,Death,148,65,5.0,227.69230769230768,29.6,0.8850728411570133,0.28560885608856085,0.765180044143323,2,0.05263157894736842,1
B Chipli,Death,100,56,1.0,178.57142857142858,100.0,0.6783427003006145,1.0,0.7426741602404916,2,0.010526315789473684,1
LJ Wright,Death,80,36,3.0,222.22222222222223,26.666666666666668,0.8620514384466811,0.25584255842558423,0.7408096624424617,2,0.031578947368421054,1
PD Collingwood,Death,81,43,1.0,188.37209302325581,81.0,0.7195897785059259,0.8071955719557194,0.7371109371958846,2,0.010526315789473684,1
PC Valthaty,Death,46,22,1.0,209.0909090909091,46.0,0.8067869915994347,0.45202952029520294,0.7358354973385883,2,0.010526315789473684,1
Misbah-ul-Haq,Death,42,20,1.0,210.0,42.0,0.8106129917657825,0.4114391143911439,0.7307782162908548,2,0.010526315789473684,0
R Powell,Death,134,62,5.0,216.1290322580645,26.8,0.8364076380485791,0.2571955719557195,0.7205652248300072,2,0.05263157894736842,1
V Sehwag,Death,73,33,4.0,221.2121212121212,18.25,0.857800327150739,0.17043357933579337,0.7203269775877499,2,0.042105263157894736,1
ML Hayden,Death,92,45,2.0,204.44444444444443,46.0,0.7872318796381012,0.45202952029520294,0.7201914077695215,2,0.021052631578947368,1
CH Gayle,Death,563,271,16.0,207.7490774907749,35.1875,0.8011397588815781,0.34230857933579334,0.7093735229724212,2,0.16842105263157894,1
Q de Kock,Death,167,79,6.0,211.39240506329116,27.833333333333332,0.8164730679699356,0.2676814268142681,0.7067147397388021,2,0.06315789473684211,1
JM Sharma,Death,83,41,2.0,202.4390243902439,41.5,0.7787918684310359,0.4063653136531365,0.704306557475456,2,0.021052631578947368,1
MA Agarwal,Death,237,111,11.0,213.51351351351352,21.545454545454547,0.8253999653816674,0.20387453874538747,0.7010948800544115,2,0.11578947368421053,1
LS Livingstone,Death,109,51,7.0,213.72549019607843,15.571428571428571,0.826292090486698,0.14325250395361097,0.6896841731800807,2,0.07368421052631578,0
JC Buttler,Death,466,232,15.0,200.86206896551727,31.066666666666666,0.7721550935419759,0.3004920049200492,0.6778224758175906,2,0.15789473684210525,1
CR Brathwaite,Death,156,75,9.0,208.0,17.333333333333332,0.8021957913998172,0.16113161131611314,0.6739829553830765,2,0.09473684210526316,1
AC Voges,Death,85,51,1.0,166.66666666666669,85.0,0.6282403171698691,0.8477859778597785,0.6721494493078509,2,0.010526315789473684,1
MEK Hussey,Death,261,132,8.0,197.72727272727272,32.625,0.7589619895200866,0.3163053505535055,0.6704306617267705,2,0.08421052631578947,1
RR Pant,Death,779,386,33.0,201.8134715025907,23.606060606060606,0.7761591664335932,0.22478474784747846,0.6658842827163702,2,0.3473684210526316,1
KP Pietersen,Death,123,69,2.0,178.26086956521738,61.5,0.6770356816102471,0.6093173431734317,0.663492013922884,2,0.021052631578947368,1
AD Russell,Death,1048,526,40.0,199.23954372623572,26.2,0.7653265335230417,0.2511070110701107,0.6624826290324556,2,0.42105263157894735,1
KL Rahul,Death,697,365,18.0,190.95890410958904,38.72222222222222,0.7304766321172094,0.3781775317753177,0.6600168120488311,2,0.18947368421052632,1
J Suchith,Death,56,28,3.0,200.0,18.666666666666668,0.7685269899359563,0.1746617466174662,0.6497539412722583,2,0.031578947368421054,1
JJ Roy,Death,41,22,1.0,186.36363636363635,41.0,0.7111369874407387,0.4012915129151291,0.6491678925356168,2,0.010526315789473684,1
AK Markram,Death,148,77,5.0,192.2077922077922,29.6,0.735732702795832,0.28560885608856085,0.6457079334543778,2,0.05263157894736842,1
TM Head,Death,99,55,2.0,180.0,49.5,0.6843549862763039,0.48754612546125453,0.644993214113294,2,0.021052631578947368,1
SV Samson,Death,632,325,27.0,194.46153846153845,23.40740740740741,0.7452178196917448,0.22276889435561023,0.6407280346245179,2,0.28421052631578947,1
CL White,Death,359,191,11.0,187.95811518324606,32.63636363636363,0.7178475112927101,0.316420664206642,0.6375621418754964,2,0.11578947368421053,1
BB McCullum,Death,177,94,6.0,188.29787234042556,29.5,0.7192774133265853,0.28459409594095936,0.6323407498494602,2,0.06315789473684211,1
DA Warner,Death,596,315,22.0,189.2063492063492,27.09090909090909,0.723100829230747,0.26014760147601473,0.6305101836798006,2,0.23157894736842105,1
SO Hetmyer,Death,502,268,17.0,187.3134328358209,29.529411764705884,0.7151343010473709,0.284892554807901,0.6290859517994769,2,0.17894736842105263,1
MN van Wyk,Death,66,40,1.0,165.0,66.0,0.6212259835315647,0.654981549815498,0.6279770967883513,2,0.010526315789473684,1
V Kohli,Death,1293,682,53.0,189.58944281524927,24.39622641509434,0.7247131170632634,0.23280303557752557,0.6263311007661159,2,0.5578947368421052,0
K Gowtham,Death,128,66,8.0,193.93939393939394,16.0,0.743020322160304,0.14760147601476015,0.6239365529311953,2,0.08421052631578947,1
SM Pollock,Death,80,41,6.0,195.1219512195122,13.333333333333334,0.7479972329457971,0.12054120541205413,0.6225060274390486,2,0.06315789473684211,1
RD Gaikwad,Death,163,89,5.0,183.14606741573033,32.6,0.6975955261778223,0.31605166051660516,0.6212867530455789,2,0.05263157894736842,1
SM Curran,Death,211,114,8.0,185.08771929824562,26.375,0.7057671626458646,0.25288284132841327,0.6151902983823744,2,0.08421052631578947,1
DA Miller,Death,1038,568,35.0,182.74647887323943,29.65714285714286,0.6959138177647772,0.28618871903004744,0.6139687980178312,2,0.3684210526315789,1
GJ Bailey,Death,324,179,10.0,181.0055865921788,32.4,0.6885870981921525,0.3140221402214022,0.6136741065980025,2,0.10526315789473684,0
SR Watson,Death,448,237,24.0,189.0295358649789,18.666666666666668,0.7223566925699022,0.1746617466174662,0.612817703379415,2,0.25263157894736843,1
MS Dhoni,Death,3003,1683,85.0,178.4313725490196,35.32941176470588,0.6777532604990764,0.3437486433687866,0.6109523370730184,2,0.8947368421052632,0
Ishan Kishan,Death,247,130,16.0,190.0,15.4375,0.7264409881061301,0.14189345018450183,0.6095314805218045,2,0.16842105263157894,1
BCJ Cutting,Death,216,117,9.0,184.6153846153846,24.0,0.7037792948131467,0.2287822878228782,0.6087798934150931,2,0.09473684210526316,1
NK Patel,Death,37,21,1.0,176.19047619047618,37.0,0.6683222236744654,0.36070110701107005,0.6067980003417863,2,0.010526315789473684,1
SC Ganguly,Death,184,99,9.0,185.85858585858585,20.444444444444443,0.7090114317927677,0.19270192701927016,0.6057495308380683,2,0.09473684210526316,1
Yuvraj Singh,Death,894,485,42.0,184.3298969072165,21.285714285714285,0.7025777911923111,0.20123879810226672,0.6023099925743023,2,0.4421052631578947,1
RG Sharma,Death,1465,805,60.0,181.98757763975155,24.416666666666668,0.6927199058946545,0.23301045510455104,0.6007780157366338,2,0.631578947368421,0
MM Ali,Death,202,110,10.0,183.63636363636365,20.2,0.6996589869416954,0.19022140221402212,0.5977714699961607,2,0.10526315789473684,0
RK Singh,Death,133,74,5.0,179.72972972972974,26.6,0.6832175267673898,0.2551660516605166,0.5976072317460152,2,0.05263157894736842,1
F du Plessis,Death,501,274,24.0,182.84671532846716,20.875,0.6963356729285902,0.1970710332103321,0.5964827449849386,2,0.25263157894736843,1
JP Duminy,Death,880,502,27.0,175.29880478087648,32.592592592592595,0.6645695352168637,0.3159764930982643,0.5948509267931439,2,0.28421052631578947,1
RV Uthappa,Death,565,311,26.0,181.67202572347267,21.73076923076923,0.6913918740420627,0.20575503831961395,0.5942645068975729,2,0.2736842105263158,1
DJ Hussey,Death,404,223,18.0,181.1659192825112,22.444444444444443,0.6892618743820235,0.2129971299712997,0.5940089254998787,2,0.18947368421052632,1
N Rana,Death,349,191,19.0,182.72251308900525,18.36842105263158,0.695812955360864,0.17163526898426879,0.5909774180855449,2,0.2,1
M Vijay,Death,125,69,6.0,181.15942028985506,20.833333333333332,0.6892345227203417,0.1966482164821648,0.5907172614727063,2,0.06315789473684211,1
KK Nair,Death,275,151,15.0,182.11920529801324,18.333333333333332,0.6932738740813001,0.1712792127921279,0.5888749418234658,2,0.15789473684210525,1
HH Pandya,Death,1128,639,43.0,176.52582159624413,26.232558139534884,0.6697335584105427,0.25143739809491117,0.5860743263474165,2,0.45263157894736844,0
TM Dilshan,Death,191,109,7.0,175.22935779816513,27.285714285714285,0.6642772606327171,0.26212440695835526,0.5838466898978447,2,0.07368421052631578,1
GJ Maxwell,Death,511,285,26.0,179.2982456140351,19.653846153846153,0.6814015826391232,0.18467925063866023,0.5820571162390307,2,0.2736842105263158,1
SK Raina,Death,888,514,30.0,172.7626459143969,29.6,0.6538958565473247,0.28560885608856085,0.580238456455572,2,0.3157894736842105,1
DJ Bravo,Death,896,507,39.0,176.7258382642998,22.974358974358974,0.6705753485963214,0.21837449143722207,0.5801351771645016,2,0.4105263157894737,1
KA Pollard,Death,2006,1151,80.0,174.28323197219808,25.075,0.6602953953084276,0.2396909594095941,0.576174508128661,2,0.8421052631578947,0
KD Karthik,Death,1539,884,63.0,174.0950226244344,24.428571428571427,0.6595032974129903,0.2331312598840274,0.5742288899071978,2,0.6631578947368421,1
KK Cooper,Death,78,43,7.0,181.3953488372093,11.142857142857142,0.6902274516479076,0.09831312598840274,0.5718445865160067,2,0.07368421052631578,1
JD Ryder,Death,45,28,1.0,160.71428571428572,45.0,0.6031891256044963,0.44188191881918815,0.5709276842474347,2,0.010526315789473684,1
PJ Cummins,Death,275,155,16.0,177.41935483870967,17.1875,0.6734940825782842,0.15965175276752766,0.570725616616133,2,0.16842105263157894,1
SN Khan,Death,259,151,10.0,171.52317880794703,25.9,0.6486794350563189,0.24806273062730624,0.5685560941705164,2,0.10526315789473684,0
Harpreet Brar,Death,89,67,1.0,132.8358208955224,89.0,0.4858598134669746,0.8883763837638375,0.5663631275263472,2,0.010526315789473684,1
MC Henriques,Death,335,198,12.0,169.19191919191917,27.916666666666668,0.638868095409724,0.2685270602706027,0.5647998883818998,2,0.12631578947368421,1
Tilak Varma,Death,98,59,3.0,166.10169491525423,32.666666666666664,0.6258625769534946,0.31672816728167275,0.5640356950191303,2,0.031578947368421054,0
RS Bopara,Death,179,103,9.0,173.7864077669903,19.88888888888889,0.6582044608674799,0.18706437064370643,0.5639764428227252,2,0.09473684210526316,1
KS Williamson,Death,457,270,17.0,169.25925925925927,26.88235294117647,0.6391515028294537,0.258031256783156,0.5629274536201941,2,0.17894736842105263,1
JH Kallis,Death,394,227,20.0,173.56828193832598,19.7,0.65728645646505,0.18514760147601475,0.5628586854672429,2,0.21052631578947367,1
BJ Hodge,Death,605,362,20.0,167.1270718232044,30.25,0.6301779783959198,0.2922047970479704,0.5625833421263299,2,0.21052631578947367,1
HH Gibbs,Death,72,44,2.0,163.63636363636365,36.0,0.615486983282043,0.3505535055350553,0.5625002877326455,2,0.021052631578947368,1
AT Rayudu,Death,1086,625,57.0,173.76,19.05263157894737,0.6580933211344924,0.17857836473101574,0.562190329853797,2,0.6,0
Lalit Yadav,Death,62,42,1.0,147.61904761904762,62.0,0.5480765041606763,0.6143911439114391,0.5613394321108289,2,0.010526315789473684,1
R Tewatia,Death,481,284,19.0,169.3661971830986,25.31578947368421,0.6396015617952916,0.24213439502816078,0.5601081284418654,2,0.2,1
EJG Morgan,Death,516,300,26.0,172.0,19.846153846153847,0.650686184812443,0.18663071246097077,0.5578750903421485,2,0.2736842105263158,1
TR Birt,Death,60,35,3.0,171.42857142857142,20.0,0.6482812704221671,0.1881918819188192,0.5562633927214976,2,0.031578947368421054,1
SA Yadav,Death,542,316,29.0,171.51898734177215,18.689655172413794,0.6486617948510083,0.17489502481231708,0.5539084408432701,2,0.30526315789473685,1
N Pooran,Death,319,189,14.0,168.78306878306879,22.785714285714285,0.6371474075042237,0.21646020031628888,0.5530099660666368,2,0.14736842105263157,0
GC Smith,Death,66,39,3.0,169.23076923076923,22.0,0.6390315996903373,0.20848708487084872,0.5529226967264396,2,0.031578947368421054,1
CH Morris,Death,493,296,19.0,166.55405405405406,25.94736842105263,0.6277663757078215,0.2485434064866964,0.5519217818635965,2,0.2,1
CJ Anderson,Death,175,102,10.0,171.5686274509804,17.5,0.6488707102237053,0.16282287822878228,0.5516611438247208,2,0.10526315789473684,1
A Symonds,Death,292,178,10.0,164.04494382022472,29.2,0.6172065339186037,0.28154981549815494,0.550075190234514,2,0.10526315789473684,1
BA Stokes,Death,199,116,12.0,171.55172413793102,16.583333333333332,0.6487995709373128,0.15352091020910208,0.5497438387916707,2,0.12631578947368421,1
SW Billings,Death,118,68,9.0,173.52941176470588,13.11111111111111,0.65712286744524,0.11828618286182863,0.5493555305285577,2,0.09473684210526316,1
S Dhawan,Death,580,364,16.0,159.34065934065933,36.25,0.5974080813971026,0.353090405904059,0.5485445462984938,2,0.16842105263157894,1
LRPL Taylor,Death,305,184,12.0,165.76086956521738,25.416666666666668,0.6244281793229645,0.2431580565805658,0.5481741547744847,2,0.12631578947368421,1
SR Tendulkar,Death,224,135,9.0,165.92592592592592,24.88888888888889,0.6251228355528449,0.23780237802378026,0.547658744047032,2,0.09473684210526316,1
SPD Smith,Death,679,414,25.0,164.0096618357488,27.16,0.6170580461522824,0.26084870848708486,0.5458161786192429,2,0.2631578947368421,1
YK Pathan,Death,1121,682,43.0,164.36950146627566,26.069767441860463,0.6185724672871622,0.24978546297090878,0.5448150664239115,2,0.45263157894736844,1
MP Stoinis,Death,579,354,22.0,163.55932203389833,26.318181818181817,0.6151627459798101,0.25230627306273057,0.5425914513963942,2,0.23157894736842105,1
DPMD Jayawardene,Death,372,230,13.0,161.7391304347826,28.615384615384617,0.6075022872827083,0.27561737155833094,0.5411253041378328,2,0.1368421052631579,1
SS Iyer,Death,375,229,16.0,163.75545851528383,23.4375,0.6159882060112587,0.22307426199261993,0.537405417207531,2,0.16842105263157894,1
MV Boucher,Death,228,142,8.0,160.56338028169014,28.5,0.6025540249732615,0.2744464944649446,0.5369325188715981,2,0.08421052631578947,1
R Dravid,Death,200,118,15.0,169.4915254237288,13.333333333333334,0.6401290182517407,0.12054120541205413,0.5362114556838035,2,0.15789473684210525,1
KH Pandya,Death,563,340,29.0,165.58823529411762,19.413793103448278,0.6237016306980249,0.1822432879501209,0.535409962148444,2,0.30526315789473685,1
MS Gony,Death,88,52,7.0,169.23076923076923,12.571428571428571,0.6390315996903373,0.11280969952556669,0.5337872196573832,2,0.07368421052631578,0
OA Shah,Death,269,166,11.0,162.04819277108433,24.454545454545453,0.6088030070878208,0.23339483394833946,0.5337213724599246,2,0.11578947368421053,1
MK Lomror,Death,106,64,6.0,165.625,17.666666666666668,0.6238563586459288,0.16451414514145143,0.5319879159450334,2,0.06315789473684211,1
AM Nayar,Death,307,185,19.0,165.94594594594594,16.157894736842106,0.6252070918127643,0.14920372887939407,0.5300064192260903,2,0.2,0
D Wiese,Death,104,65,4.0,160.0,26.0,0.6001829826166516,0.24907749077490773,0.5299618842483028,2,0.042105263157894736,0
Bipul Sharma,Death,172,107,7.0,160.74766355140187,24.571428571428573,0.6033295995758909,0.23458091723774382,0.5295798631082616,2,0.07368421052631578,1
WP Saha,Death,557,344,25.0,161.91860465116278,22.28,0.6082576225026065,0.21132841328413285,0.5288717806589118,2,0.2631578947368421,0
AP Dole,Death,33,20,2.0,165.0,16.5,0.6212259835315647,0.1526752767527675,0.5275158421758053,2,0.021052631578947368,1
PK Garg,Death,60,36,5.0,166.66666666666669,12.0,0.6282403171698691,0.1070110701107011,0.5239944677580355,2,0.05263157894736842,0
AJ Finch,Death,282,174,15.0,162.06896551724137,18.8,0.6088904312710983,0.17601476014760148,0.522315297046399,2,0.15789473684210525,1
Sachin Baby,Death,94,58,5.0,162.06896551724137,18.8,0.6088904312710983,0.17601476014760148,0.522315297046399,2,0.05263157894736842,1
S Dube,Death,214,131,13.0,163.35877862595422,16.46153846153846,0.6143187389564406,0.1522849843883054,0.5219119880428136,2,0.1368421052631579,1
MS Bisla,Death,52,33,2.0,157.57575757575756,26.0,0.5899803155063906,0.24907749077490773,0.5217997505600941,2,0.021052631578947368,1
JP Faulkner,Death,436,274,19.0,159.12408759124088,22.94736842105263,0.5964966174928712,0.21810060205865214,0.5208174144060275,2,0.2,1
Gurkeerat Singh,Death,251,156,13.0,160.8974358974359,19.307692307692307,0.6039599314988155,0.18116661935850126,0.5194012690707528,2,0.1368421052631579,1
JA Morkel,Death,629,394,30.0,159.64467005076142,20.966666666666665,0.5986875409272668,0.1980012300123001,0.5185502787442735,2,0.3157894736842105,1
JC Archer,Death,169,105,9.0,160.95238095238096,18.77777777777778,0.6041911732671112,0.17578925789257893,0.5185107901922048,2,0.09473684210526316,1
R Shepherd,Death,34,21,2.0,161.9047619047619,17.0,0.6081993639175708,0.1577490774907749,0.5181093066322117,2,0.021052631578947368,0
SE Marsh,Death,254,158,14.0,160.75949367088606,18.142857142857142,0.6033793878189168,0.16934633632050605,0.5165727775192346,2,0.14736842105263157,1
KC Sangakkara,Death,195,120,13.0,162.5,15.0,0.6107044830741081,0.13745387453874539,0.5160543613670355,2,0.1368421052631579,1
RN ten Doeschate,Death,212,134,10.0,158.2089552238806,21.2,0.5926451912441454,0.20036900369003688,0.5141899537333238,2,0.10526315789473684,1
A Badoni,Death,101,65,4.0,155.3846153846154,25.25,0.5807586740798087,0.24146678966789667,0.5129002971974264,2,0.042105263157894736,1
Rashid Khan,Death,298,182,27.0,163.73626373626374,11.037037037037036,0.6159074228607625,0.09723930572639058,0.5121737994338881,2,0.28421052631578947,1
IK Pathan,Death,662,424,28.0,156.13207547169813,23.642857142857142,0.5839044347390774,0.22515814443858723,0.5121551766789794,2,0.29473684210526313,1
V Shankar,Death,332,210,17.0,158.0952380952381,19.529411764705884,0.5921666013157323,0.18341654004775343,0.5104165890621365,2,0.17894736842105263,1
S Badrinath,Death,419,267,21.0,156.92883895131087,19.952380952380953,0.5872576936651693,0.18770866280091372,0.5073478874923183,2,0.22105263157894736,0
